epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,502.62,3.04506,3.69541,4.15494,0.00248,0.68259,0.03502,0.01027,2.6329,4.0248,4.01945,0.000655367,0.000655367,0.000655367
2,1129.82,3.0435,3.42393,3.76414,0.03908,0.04777,0.00933,0.00304,2.73108,4.74804,4.78269,0.00130895,0.00130895,0.00130895
3,1870.61,2.96674,3.21697,3.43883,0.14415,0.13694,0.06512,0.02507,2.54756,5.33235,3.48833,0.00194932,0.00194932,0.00194932
4,2636.49,2.71344,3.14984,3.22352,0.05204,0.15074,0.04026,0.01533,2.2943,3.84496,3.1822,0.0019406,0.0019406,0.0019406
5,3261.71,2.47317,2.85579,2.98659,0.08853,0.04989,0.02144,0.00789,2.5862,3.93742,4.49867,0.0019208,0.0019208,0.0019208
6,3890.22,2.28168,2.64278,2.81287,0.20442,0.37049,0.13194,0.06136,1.90398,3.13015,2.75359,0.001901,0.001901,0.001901
7,4519.9,2.03681,2.42852,2.57549,0.43343,0.38818,0.28656,0.1397,1.76212,2.60343,2.56648,0.0018812,0.0018812,0.0018812
8,6437.88,1.8654,2.16301,2.36918,0.45968,0.48408,0.40368,0.25246,1.51442,2.47098,2.2516,0.0018614,0.0018614,0.0018614
9,9878.5,1.65988,1.9888,2.18808,0.56503,0.57366,0.48865,0.32838,1.34795,1.90013,2.03494,0.0018416,0.0018416,0.0018416
10,11641.9,1.55131,1.85273,2.06143,0.50131,0.4862,0.46052,0.27509,1.35226,2.0979,2.04104,0.0018218,0.0018218,0.0018218
